order_id,verdict,kind,product_name,package_name,travel_date,time_slot,hub_id,product_hub,actual_hub,issues
14315,WARN,port,Narita Airport: Tokyo/Yokohama Cruise Port Private Transfer,10seat NRT to Yokohama Port,2026-08-16,09:30,Diamond Princess,YOK,YOK-OSANBASHI,HUB_TOO_GENERIC:产品只写到 YOK，实际停靠 YOK-OSANBASHI，需确认码头/航站是否同一产品
16127,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (Max 4 pax),2026-08-26,08:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
10746,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (1–4 Pax),2026-08-26,10:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
16860,PASS,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-08-26,10:30,Diamond Princess,,YOK-OSANBASHI,
16874,PASS,airport,PVG Airport Private Transfer to or from Shanghai Disney Resort,7 Seat from PVG to Disney,2026-09-08,21:00,DL281,PVG,PVG,
16953,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-09-11,09:30,terminal to Tokyo hotel. We have not not,,TYO-TICT,NO_SCHEDULE:未查到 terminal to Tokyo hotel. We have not not 在出行日的官方时刻
15686,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (Max 7 pax),2026-09-11,10:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
17095,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-09-23,09:00,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
17087,FAIL,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Tokyo Cruise Port→Hotel,2026-09-27,09:00,ms Westerdam,TYO-TICT,TYO-TICT,REVERSED_ROUTE:枢纽是出发，订单却是接，疑似订反线路
15535,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-09-27,10:30,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
